"LOCATION","Country","VAR","Variable","EDI","Edition","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1972-08","Aug-1972","IDX","Index","0","Units",,,29.25,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1972-09","Sep-1972","IDX","Index","0","Units",,,29.58,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1972-10","Oct-1972","IDX","Index","0","Units",,,30.42,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1972-11","Nov-1972","IDX","Index","0","Units",,,30.3,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1972-12","Dec-1972","IDX","Index","0","Units",,,33.85,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1973-01","Jan-1973","IDX","Index","0","Units",,,29.6,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1973-02","Feb-1973","IDX","Index","0","Units",,,30.06,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1973-03","Mar-1973","IDX","Index","0","Units",,,30.2,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1973-04","Apr-1973","IDX","Index","0","Units",,,30.62,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1973-05","May-1973","IDX","Index","0","Units",,,30.64,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1973-06","Jun-1973","IDX","Index","0","Units",,,31.09,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1973-07","Jul-1973","IDX","Index","0","Units",,,30.88,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1973-08","Aug-1973","IDX","Index","0","Units",,,31.21,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1973-09","Sep-1973","IDX","Index","0","Units",,,31.64,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1973-10","Oct-1973","IDX","Index","0","Units",,,31.43,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1973-11","Nov-1973","IDX","Index","0","Units",,,31.03,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1973-12","Dec-1973","IDX","Index","0","Units",,,32.75,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1974-01","Jan-1974","IDX","Index","0","Units",,,32.26,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1974-02","Feb-1974","IDX","Index","0","Units",,,32.72,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1974-03","Mar-1974","IDX","Index","0","Units",,,33.01,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1974-04","Apr-1974","IDX","Index","0","Units",,,32.67,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1974-05","May-1974","IDX","Index","0","Units",,,32.38,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1974-06","Jun-1974","IDX","Index","0","Units",,,33.58,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1974-07","Jul-1974","IDX","Index","0","Units",,,32.94,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1974-08","Aug-1974","IDX","Index","0","Units",,,32.7,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1974-09","Sep-1974","IDX","Index","0","Units",,,32.67,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1974-10","Oct-1974","IDX","Index","0","Units",,,31.96,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1974-11","Nov-1974","IDX","Index","0","Units",,,31.9,,
